iter	Passed	Remaining
0	53	106659
1	117	117055
2	160	106922
3	208	104003
4	268	107198
5	319	106088
6	344	98044
7	396	98614
8	417	92326
9	468	93208
10	520	94106
11	537	89120
12	570	87162
13	607	86134
14	654	86633
15	683	84772
16	704	82137
17	755	83184
18	805	84016
19	854	84568
20	906	85455
21	963	86599
22	1014	87160
23	1058	87126
24	1106	87419
25	1152	87526
26	1199	87676
27	1256	88468
28	1304	88655
29	1352	88794
30	1391	88360
31	1443	88750
32	1494	89054
33	1551	89711
34	1604	90091
35	1649	89996
36	1690	89707
37	1740	89839
38	1790	90016
39	1851	90721
40	1909	91245
41	1967	91735
42	2023	92074
43	2079	92442
44	2131	92615
45	2182	92702
46	2225	92492
47	2287	93033
48	2340	93175
49	2389	93175
50	2443	93381
51	2488	93204
52	2546	93542
53	2594	93511
54	2644	93525
55	2690	93406
56	2748	93679
57	2804	93905
58	2862	94161
59	2919	94389
60	2971	94463
61	3027	94626
62	3076	94602
63	3129	94669
64	3182	94743
65	3238	94896
66	3305	95365
67	3366	95641
68	3419	95686
69	3490	96249
70	3548	96398
71	3602	96479
72	3662	96681
73	3712	96630
74	3763	96603
75	3817	96633
76	3871	96686
77	3931	96878
78	3983	96873
79	4039	96944
80	4088	96868
81	4144	96942
82	4202	97066
83	4251	96979
84	4307	97045
85	4354	96902
86	4410	96974
87	4475	97234
88	4535	97392
89	4593	97491
90	4655	97673
91	4721	97914
92	4781	98038
93	4839	98130
94	4903	98337
95	4961	98394
96	5018	98464
97	5082	98640
98	5136	98640
99	5193	98682
100	5242	98573
101	5295	98545
102	5348	98499
103	5398	98416
104	5459	98526
105	5509	98439
106	5574	98626
107	5632	98671
108	5684	98615
109	5743	98680
110	5797	98664
111	5855	98710
112	5904	98602
113	5959	98587
114	6011	98536
115	6060	98429
116	6117	98449
117	6169	98399
118	6232	98521
119	6293	98594
120	6343	98507
121	6399	98508
122	6456	98525
123	6511	98510
124	6566	98496
125	6620	98467
126	6681	98537
127	6743	98621
128	6791	98508
129	6842	98420
130	6901	98463
131	6959	98482
132	7022	98576
133	7083	98633
134	7137	98608
135	7191	98560
136	7251	98609
137	7314	98689
138	7362	98569
139	7416	98530
140	7472	98526
141	7523	98444
142	7584	98493
143	7636	98431
144	7694	98441
145	7744	98346
146	7795	98264
147	7852	98265
148	7925	98451
149	7982	98450
150	8048	98548
151	8110	98611
152	8169	98616
153	8224	98583
154	8281	98571
155	8333	98502
156	8391	98510
157	8451	98524
158	8509	98527
159	8568	98533
160	8629	98574
161	8690	98595
162	8754	98663
163	8821	98753
164	8885	98818
165	8944	98824
166	9000	98785
167	9067	98880
168	9126	98881
169	9184	98866
170	9258	99026
171	9319	99043
172	9384	99108
173	9443	99105
174	9502	99098
175	9568	99167
176	9642	99310
177	9700	99290
178	9756	99253
179	9814	99236
180	9882	99315
181	9948	99375
182	9998	99273
183	10074	99428
184	10134	99423
185	10186	99346
186	10243	99316
187	10290	99182
188	10339	99070
189	10398	99061
190	10457	99042
191	10511	98983
192	10571	98975
193	10630	98964
194	10695	99006
195	10744	98890
196	10794	98794
197	10852	98766
198	10919	98821
199	10979	98816
200	11046	98872
201	11110	98890
202	11174	98922
203	11225	98826
204	11289	98853
205	11358	98919
206	11419	98915
207	11487	98967
208	11546	98944
209	11607	98939
210	11665	98906
211	11725	98892
212	11785	98878
213	11844	98853
214	11903	98825
215	11959	98776
216	12009	98675
217	12075	98707
218	12131	98661
219	12181	98557
220	12237	98510
221	12306	98559
222	12373	98599
223	12425	98519
224	12498	98595
225	12565	98630
226	12629	98640
227	12697	98685
228	12753	98630
229	12811	98593
230	12865	98520
231	12927	98514
232	12985	98478
233	13043	98440
234	13113	98487
235	13169	98438
236	13232	98437
237	13286	98363
238	13344	98326
239	13388	98180
240	13446	98144
241	13504	98103
242	13531	97836
243	13584	97763
244	13635	97674
245	13698	97669
246	13769	97727
247	13825	97671
248	13912	97831
249	13986	97905
250	14053	97926
251	14120	97943
252	14175	97885
253	14243	97909
254	14300	97858
255	14358	97819
256	14417	97778
257	14466	97679
258	14528	97662
259	14583	97600
260	14642	97563
261	14700	97513
262	14756	97461
263	14800	97323
264	14857	97272
265	14921	97271
266	14980	97234
267	15037	97185
268	15107	97213
269	15159	97133
270	15226	97143
271	15288	97129
272	15349	97102
273	15402	97023
274	15459	96970
275	15510	96881
276	15578	96899
277	15628	96807
278	15675	96690
279	15730	96631
280	15790	96597
281	15857	96607
282	15912	96545
283	15974	96523
284	16032	96477
285	16086	96406
286	16156	96434
287	16230	96478
288	16294	96467
289	16355	96438
290	16415	96403
291	16480	96401
292	16542	96377
293	16601	96331
294	16665	96320
295	16732	96326
296	16792	96289
297	16854	96261
298	16916	96239
299	16976	96199
300	17044	96205
301	17101	96154
302	17159	96107
303	17215	96045
304	17289	96085
305	17347	96032
306	17398	95949
307	17456	95899
308	17528	95923
309	17591	95899
310	17651	95860
311	17713	95833
312	17765	95753
313	17833	95758
314	17902	95762
315	17959	95707
316	18009	95614
317	18074	95603
318	18141	95600
319	18206	95584
320	18289	95666
321	18354	95650
322	18418	95629
323	18484	95618
324	18560	95658
325	18615	95589
326	18663	95485
327	18733	95497
328	18797	95472
329	18868	95485
330	18931	95459
331	18990	95407
332	19043	95329
333	19090	95225
334	19142	95140
335	19205	95111
336	19262	95055
337	19327	95037
338	19387	94993
339	19419	94811
340	19481	94781
341	19547	94766
342	19614	94756
343	19684	94760
344	19756	94773
345	19812	94710
346	19866	94636
347	19931	94616
348	19983	94535
349	20055	94547
350	20108	94471
351	20173	94446
352	20236	94415
353	20299	94387
354	20365	94368
355	20426	94331
356	20485	94280
357	20553	94270
358	20626	94285
359	20695	94280
360	20753	94222
361	20825	94233
362	20888	94198
363	20951	94165
364	21010	94113
365	21067	94057
366	21122	93984
367	21165	93862
368	21223	93810
369	21292	93803
370	21361	93793
371	21422	93752
372	21453	93578
373	21513	93532
374	21584	93534
375	21648	93501
376	21705	93444
377	21768	93410
378	21832	93379
379	21859	93190
380	21920	93146
381	21997	93172
382	22057	93124
383	22140	93175
384	22204	93145
385	22276	93145
386	22345	93135
387	22375	92960
388	22425	92871
389	22485	92824
390	22559	92834
391	22612	92758
392	22686	92768
393	22748	92725
394	22816	92709
395	22897	92747
396	22972	92756
397	23034	92718
398	23105	92711
399	23165	92660
400	23224	92607
401	23287	92568
402	23355	92553
403	23427	92549
404	23494	92525
405	23570	92538
406	23630	92491
407	23700	92478
408	23759	92424
409	23830	92414
410	23891	92367
411	23951	92316
412	24005	92243
413	24065	92191
414	24116	92108
415	24169	92031
416	24265	92116
417	24326	92069
418	24391	92033
419	24449	91975
420	24507	91918
421	24569	91875
422	24641	91864
423	24712	91856
424	24768	91788
425	24836	91768
426	24892	91699
427	24946	91625
428	24999	91549
429	25063	91509
430	25124	91462
431	25186	91417
432	25242	91349
433	25303	91302
434	25364	91254
435	25434	91237
436	25501	91210
437	25574	91202
438	25642	91178
439	25708	91149
440	25775	91120
441	25834	91065
442	25913	91076
443	25990	91082
444	26045	91012
445	26114	90991
446	26173	90932
447	26242	90912
448	26306	90870
449	26374	90846
450	26442	90819
451	26510	90791
452	26581	90775
453	26655	90771
454	26722	90740
455	26793	90721
456	26858	90685
457	26915	90619
458	26994	90627
459	27059	90589
460	27126	90557
461	27209	90581
462	27282	90569
463	27345	90523
464	27418	90509
465	27474	90440
466	27538	90398
467	27592	90324
468	27648	90256
469	27702	90181
470	27764	90129
471	27823	90073
472	27881	90012
473	27958	90008
474	28006	89915
475	28066	89859
476	28122	89790
477	28183	89740
478	28246	89691
479	28306	89637
480	28370	89594
481	28428	89531
482	28480	89450
483	28548	89419
484	28618	89397
485	28676	89334
486	28741	89293
487	28794	89215
488	28852	89153
489	28902	89067
490	28955	88990
491	29013	88927
492	29070	88862
493	29133	88816
494	29190	88750
495	29255	88708
496	29308	88634
497	29375	88599
498	29429	88525
499	29495	88485
500	29547	88406
501	29605	88346
502	29666	88290
503	29731	88249
504	29802	88226
505	29874	88206
506	29937	88158
507	29996	88099
508	30056	88042
509	30105	87955
510	30170	87914
511	30230	87858
512	30289	87798
513	30359	87770
514	30426	87734
515	30484	87673
516	30534	87587
517	30604	87559
518	30671	87523
519	30720	87435
520	30778	87373
521	30841	87325
522	30893	87245
523	30953	87188
524	31018	87147
525	31080	87096
526	31144	87049
527	31203	86991
528	31273	86962
529	31331	86900
530	31399	86866
531	31457	86805
532	31531	86786
533	31609	86779
534	31700	86805
535	31763	86756
536	31834	86730
537	31907	86708
538	31957	86622
539	32021	86577
540	32087	86534
541	32140	86459
542	32202	86406
543	32259	86341
544	32323	86293
545	32384	86238
546	32454	86208
547	32505	86126
548	32572	86088
549	32635	86037
550	32707	86014
551	32768	85958
552	32821	85881
553	32876	85811
554	32932	85744
555	32992	85685
556	33048	85616
557	33099	85537
558	33149	85452
559	33211	85400
560	33272	85345
561	33328	85277
562	33389	85223
563	33457	85185
564	33518	85132
565	33568	85047
566	33623	84978
567	33684	84922
568	33748	84874
569	33804	84808
570	33877	84783
571	33937	84725
572	33995	84661
573	34062	84622
574	34126	84575
575	34190	84527
576	34262	84498
577	34322	84441
578	34370	84354
579	34428	84290
580	34494	84246
581	34557	84196
582	34615	84134
583	34694	84123
584	34766	84094
585	34828	84039
586	34897	84004
587	34962	83958
588	35020	83894
589	35072	83818
590	35159	83823
591	35211	83747
592	35283	83716
593	35340	83651
594	35412	83620
595	35473	83565
596	35530	83500
597	35588	83435
598	35654	83392
599	35719	83346
600	35776	83279
601	35846	83244
602	35910	83195
603	35971	83139
604	36033	83086
605	36098	83037
606	36165	82994
607	36231	82952
608	36289	82887
609	36346	82821
610	36414	82781
611	36466	82705
612	36525	82643
613	36571	82554
614	36633	82499
615	36690	82434
616	36749	82374
617	36818	82336
618	36881	82282
619	36947	82238
620	37015	82197
621	37071	82130
622	37132	82072
623	37183	81994
624	37245	81940
625	37307	81885
626	37366	81825
627	37427	81768
628	37489	81714
629	37558	81674
630	37616	81611
631	37679	81559
632	37740	81502
633	37804	81452
634	37877	81420
635	37949	81388
636	38006	81323
637	38075	81283
638	38133	81219
639	38200	81177
640	38249	81094
641	38308	81032
642	38369	80975
643	38431	80920
644	38490	80859
645	38554	80808
646	38606	80732
647	38662	80665
648	38728	80618
649	38787	80558
650	38853	80512
651	38932	80491
652	38995	80439
653	39063	80396
654	39142	80375
655	39214	80341
656	39280	80294
657	39354	80263
658	39411	80197
659	39484	80166
660	39547	80111
661	39615	80069
662	39667	79992
663	39726	79932
664	39796	79892
665	39860	79840
666	39918	79778
667	39981	79723
668	40042	79665
669	40102	79606
670	40168	79559
671	40235	79513
672	40284	79431
673	40345	79374
674	40397	79298
675	40469	79263
676	40522	79190
677	40575	79116
678	40632	79051
679	40695	78996
680	40749	78925
681	40810	78868
682	40875	78817
683	40947	78782
684	41009	78726
685	41063	78654
686	41120	78590
687	41216	78599
688	41272	78531
689	41330	78467
690	41378	78385
691	41448	78344
692	41503	78276
693	41562	78214
694	41629	78167
695	41691	78111
696	41758	78065
697	41823	78013
698	41889	77966
699	41952	77912
700	42019	77865
701	42078	77802
702	42137	77741
703	42198	77682
704	42259	77625
705	42321	77568
706	42383	77512
707	42448	77461
708	42515	77415
709	42591	77384
710	42656	77333
711	42724	77287
712	42776	77214
713	42843	77165
714	42897	77094
715	42950	77022
716	43009	76960
717	43080	76920
718	43142	76863
719	43206	76811
720	43269	76756
721	43322	76685
722	43384	76628
723	43451	76580
724	43511	76520
725	43577	76470
726	43644	76422
727	43711	76374
728	43779	76328
729	43837	76265
730	43901	76211
731	43951	76134
732	44008	76069
733	44068	76008
734	44126	75946
735	44183	75881
736	44243	75819
737	44306	75764
738	44369	75711
739	44437	75663
740	44495	75599
741	44555	75539
742	44617	75482
743	44677	75423
744	44738	75365
745	44794	75297
746	44844	75220
747	44904	75161
748	44964	75101
749	45018	75030
750	45084	74980
751	45141	74916
752	45204	74861
753	45269	74809
754	45335	74758
755	45399	74704
756	45461	74648
757	45525	74594
758	45621	74593
759	45677	74526
760	45755	74495
761	45816	74436
762	45886	74392
763	45947	74333
764	46012	74281
765	46076	74227
766	46135	74166
767	46202	74116
768	46266	74062
769	46332	74011
770	46395	73955
771	46460	73903
772	46526	73853
773	46586	73791
774	46646	73731
775	46702	73664
776	46754	73592
777	46819	73539
778	46901	73512
779	46970	73466
780	47021	73392
781	47092	73347
782	47153	73289
783	47212	73227
784	47272	73166
785	47332	73105
786	47388	73039
787	47439	72964
788	47515	72929
789	47571	72863
790	47632	72803
791	47686	72734
792	47752	72682
793	47834	72655
794	47907	72614
795	47981	72575
796	48045	72521
797	48112	72470
798	48185	72428
799	48247	72371
800	48303	72304
801	48375	72262
802	48437	72204
803	48508	72159
804	48562	72089
805	48625	72034
806	48690	71979
807	48757	71929
808	48824	71879
809	48887	71821
810	48955	71773
811	49009	71704
812	49061	71630
813	49114	71559
814	49174	71499
815	49236	71441
816	49298	71382
817	49369	71338
818	49435	71285
819	49499	71231
820	49557	71167
821	49617	71105
822	49676	71043
823	49738	70986
824	49803	70932
825	49860	70866
826	49930	70819
827	49994	70764
828	50060	70713
829	50127	70661
830	50189	70603
831	50251	70545
832	50300	70468
833	50357	70404
834	50422	70349
835	50486	70294
836	50538	70222
837	50601	70165
838	50666	70111
839	50724	70048
840	50787	69990
841	50847	69929
842	50903	69864
843	50968	69809
844	51033	69756
845	51091	69691
846	51149	69628
847	51226	69591
848	51289	69534
849	51351	69476
850	51415	69419
851	51481	69366
852	51548	69315
853	51607	69253
854	51666	69191
855	51732	69137
856	51792	69076
857	51855	69020
858	51920	68965
859	51987	68913
860	52047	68852
861	52110	68795
862	52176	68742
863	52230	68673
864	52289	68611
865	52354	68556
866	52412	68493
867	52478	68440
868	52549	68392
869	52603	68323
870	52668	68269
871	52723	68201
872	52777	68133
873	52839	68075
874	52901	68015
875	52961	67954
876	53022	67894
877	53086	67839
878	53151	67784
879	53205	67716
880	53269	67660
881	53336	67607
882	53395	67545
883	53459	67489
884	53526	67437
885	53590	67381
886	53642	67310
887	53704	67251
888	53764	67191
889	53827	67132
890	53882	67066
891	53935	66995
892	54003	66944
893	54056	66875
894	54130	66831
895	54189	66769
896	54245	66703
897	54295	66629
898	54362	66577
899	54431	66527
900	54493	66469
901	54550	66404
902	54613	66346
903	54668	66279
904	54732	66223
905	54791	66161
906	54850	66099
907	54919	66048
908	54985	65994
909	55046	65935
910	55095	65861
911	55161	65806
912	55228	65754
913	55282	65686
914	55347	65631
915	55414	65577
916	55470	65511
917	55529	65449
918	55579	65377
919	55644	65321
920	55708	65265
921	55771	65207
922	55831	65147
923	55899	65094
924	55955	65029
925	56025	64979
926	56090	64924
927	56146	64859
928	56215	64807
929	56288	64762
930	56351	64704
931	56419	64652
932	56513	64630
933	56588	64586
934	56648	64524
935	56723	64480
936	56798	64436
937	56875	64394
938	56944	64342
939	57004	64282
940	57077	64234
941	57142	64178
942	57207	64122
943	57267	64061
944	57339	64014
945	57406	63960
946	57458	63890
947	57518	63829
948	57576	63764
949	57631	63697
950	57684	63628
951	57744	63567
952	57811	63513
953	57867	63448
954	57926	63385
955	57978	63315
956	58044	63260
957	58108	63203
958	58160	63133
959	58222	63074
960	58279	63009
961	58328	62936
962	58387	62873
963	58443	62808
964	58499	62742
965	58570	62693
966	58619	62620
967	58689	62569
968	58736	62495
969	58797	62434
970	58861	62377
971	58926	62321
972	58989	62263
973	59056	62209
974	59115	62147
975	59176	62087
976	59241	62030
977	59306	61974
978	59366	61913
979	59428	61854
980	59496	61800
981	59562	61746
982	59623	61685
983	59678	61619
984	59757	61577
985	59827	61526
986	59903	61481
987	59969	61425
988	60024	61359
989	60093	61307
990	60154	61247
991	60216	61187
992	60270	61120
993	60335	61064
994	60389	60996
995	60444	60929
996	60500	60864
997	60574	60816
998	60633	60755
999	60700	60700
1000	60761	60640
1001	60824	60581
1002	60881	60517
1003	60946	60460
1004	61019	60412
1005	61078	60349
1006	61149	60299
1007	61217	60245
1008	61284	60191
1009	61356	60141
1010	61418	60081
1011	61470	60012
1012	61541	59961
1013	61608	59907
1014	61666	59843
1015	61724	59780
1016	61785	59719
1017	61847	59660
1018	61895	59586
1019	61964	59534
1020	62021	59470
1021	62076	59404
1022	62142	59348
1023	62200	59284
1024	62259	59222
1025	62310	59152
1026	62359	59080
1027	62419	59018
1028	62477	58955
1029	62547	58904
1030	62610	58845
1031	62666	58780
1032	62723	58715
1033	62787	58658
1034	62855	58604
1035	62912	58539
1036	62976	58482
1037	63042	58426
1038	63111	58373
1039	63176	58317
1040	63250	58268
1041	63303	58200
1042	63374	58149
1043	63438	58091
1044	63501	58032
1045	63575	57983
1046	63633	57920
1047	63690	57855
1048	63739	57785
1049	63808	57731
1050	63864	57666
1051	63927	57607
1052	63987	57545
1053	64058	57494
1054	64121	57436
1055	64182	57374
1056	64244	57315
1057	64304	57253
1058	64376	57203
1059	64450	57154
1060	64516	57098
1061	64603	57060
1062	64676	57010
1063	64736	56948
1064	64801	56891
1065	64856	56825
1066	64914	56761
1067	64974	56700
1068	65033	56638
1069	65095	56578
1070	65158	56519
1071	65217	56457
1072	65288	56404
1073	65345	56340
1074	65394	56269
1075	65460	56213
1076	65522	56153
1077	65587	56096
1078	65650	56037
1079	65724	55987
1080	65788	55928
1081	65850	55869
1082	65907	55805
1083	65967	55743
1084	66027	55682
1085	66093	55625
1086	66144	55556
1087	66206	55496
1088	66265	55434
1089	66328	55375
1090	66386	55312
1091	66441	55245
1092	66507	55189
1093	66566	55127
1094	66616	55057
1095	66669	54989
1096	66723	54924
1097	66784	54862
1098	66841	54798
1099	66901	54737
1100	66968	54681
1101	67022	54615
1102	67082	54554
1103	67143	54493
1104	67234	54456
1105	67289	54391
1106	67343	54325
1107	67408	54267
1108	67471	54208
1109	67543	54156
1110	67611	54101
1111	67671	54039
1112	67734	53980
1113	67788	53914
1114	67862	53864
1115	67918	53799
1116	67982	53741
1117	68049	53684
1118	68095	53612
1119	68164	53557
1120	68215	53489
1121	68277	53429
1122	68351	53378
1123	68410	53316
1124	68485	53266
1125	68546	53205
1126	68604	53142
1127	68672	53087
1128	68723	53018
1129	68784	52957
1130	68843	52895
1131	68917	52844
1132	68985	52789
1133	69060	52739
1134	69127	52682
1135	69201	52632
1136	69273	52579
1137	69337	52520
1138	69387	52451
1139	69451	52393
1140	69511	52331
1141	69574	52272
1142	69632	52209
1143	69684	52141
1144	69738	52075
1145	69795	52011
1146	69868	51959
1147	69927	51897
1148	69993	51840
1149	70066	51788
1150	70118	51720
1151	70181	51661
1152	70244	51601
1153	70308	51543
1154	70363	51478
1155	70425	51417
1156	70486	51356
1157	70561	51306
1158	70635	51254
1159	70685	51186
1160	70751	51128
1161	70817	51071
1162	70871	51005
1163	70928	50941
1164	70995	50885
1165	71057	50824
1166	71119	50764
1167	71174	50699
1168	71239	50641
1169	71314	50590
1170	71371	50527
1171	71433	50466
1172	71491	50403
1173	71572	50357
1174	71642	50302
1175	71693	50234
1176	71754	50173
1177	71804	50104
1178	71855	50036
1179	71912	49973
1180	71969	49909
1181	72019	49840
1182	72081	49780
1183	72140	49718
1184	72205	49660
1185	72263	49597
1186	72319	49533
1187	72383	49474
1188	72444	49413
1189	72499	49348
1190	72577	49299
1191	72642	49240
1192	72716	49188
1193	72777	49128
1194	72840	49068
1195	72908	49012
1196	72970	48951
1197	73039	48896
1198	73108	48840
1199	73167	48778
1200	73230	48718
1201	73316	48674
1202	73381	48615
1203	73444	48556
1204	73507	48496
1205	73561	48431
1206	73616	48365
1207	73674	48302
1208	73744	48248
1209	73803	48186
1210	73863	48124
1211	73918	48058
1212	73967	47990
1213	74021	47925
1214	74077	47860
1215	74130	47794
1216	74199	47738
1217	74262	47679
1218	74324	47618
1219	74391	47561
1220	74461	47506
1221	74524	47446
1222	74596	47392
1223	74656	47331
1224	74718	47271
1225	74778	47209
1226	74837	47147
1227	74898	47086
1228	74972	47033
1229	75029	46969
1230	75077	46900
1231	75139	46840
1232	75197	46777
1233	75261	46718
1234	75323	46658
1235	75381	46595
1236	75431	46527
1237	75478	46457
1238	75540	46397
1239	75609	46341
1240	75667	46278
1241	75745	46228
1242	75811	46169
1243	75878	46112
1244	75931	46046
1245	75996	45988
1246	76052	45924
1247	76117	45865
1248	76172	45801
1249	76241	45744
1250	76297	45680
1251	76379	45632
1252	76438	45570
1253	76507	45513
1254	76577	45458
1255	76649	45404
1256	76705	45339
1257	76761	45275
1258	76819	45213
1259	76878	45151
1260	76938	45089
1261	77004	45030
1262	77058	44966
1263	77119	44905
1264	77179	44843
1265	77251	44788
1266	77309	44726
1267	77372	44666
1268	77431	44603
1269	77489	44541
1270	77559	44485
1271	77635	44433
1272	77706	44377
1273	77769	44317
1274	77842	44263
1275	77907	44204
1276	77961	44139
1277	78025	44079
1278	78095	44024
1279	78160	43965
1280	78256	43923
1281	78316	43861
1282	78402	43814
1283	78459	43751
1284	78517	43688
1285	78571	43623
1286	78632	43562
1287	78692	43501
1288	78765	43446
1289	78818	43380
1290	78874	43316
1291	78939	43258
1292	78989	43190
1293	79048	43128
1294	79105	43065
1295	79173	43007
1296	79233	42945
1297	79294	42884
1298	79360	42826
1299	79431	42770
1300	79502	42714
1301	79557	42650
1302	79628	42594
1303	79700	42539
1304	79764	42480
1305	79835	42424
1306	79886	42357
1307	79943	42294
1308	79998	42229
1309	80061	42169
1310	80118	42106
1311	80187	42049
1312	80251	41990
1313	80316	41930
1314	80384	41873
1315	80445	41811
1316	80516	41755
1317	80574	41693
1318	80641	41635
1319	80707	41576
1320	80772	41517
1321	80829	41453
1322	80878	41386
1323	80935	41323
1324	80999	41264
1325	81072	41208
1326	81135	41148
1327	81192	41085
1328	81254	41024
1329	81317	40964
1330	81376	40902
1331	81443	40843
1332	81504	40782
1333	81569	40723
1334	81638	40666
1335	81701	40605
1336	81761	40544
1337	81816	40480
1338	81875	40418
1339	81935	40356
1340	81992	40293
1341	82053	40231
1342	82118	40172
1343	82172	40107
1344	82237	40048
1345	82295	39985
1346	82357	39925
1347	82426	39867
1348	82480	39803
1349	82544	39743
1350	82611	39685
1351	82672	39623
1352	82735	39563
1353	82809	39508
1354	82875	39449
1355	82940	39390
1356	82997	39327
1357	83055	39264
1358	83115	39203
1359	83188	39147
1360	83254	39088
1361	83313	39026
1362	83374	38965
1363	83433	38903
1364	83488	38838
1365	83546	38776
1366	83612	38717
1367	83677	38658
1368	83743	38599
1369	83803	38537
1370	83868	38478
1371	83919	38412
1372	83979	38350
1373	84028	38283
1374	84087	38221
1375	84145	38158
1376	84201	38095
1377	84262	38034
1378	84315	37969
1379	84373	37906
1380	84425	37841
1381	84482	37778
1382	84535	37713
1383	84602	37655
1384	84653	37589
1385	84716	37529
1386	84776	37468
1387	84827	37402
1388	84881	37338
1389	84944	37277
1390	85010	37218
1391	85070	37157
1392	85134	37097
1393	85204	37040
1394	85264	36978
